,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,PoolQC,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,HouseAge,HouseModelAge,TotalSF,TotalArea,TotalBath,TotalPorchSF
713,714,190,RL,60.0,9873,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,2fmCon,1Story,4,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,160.0,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,171,GasW,TA,N,SBrkr,0,3,1,TA,6,Typ,0,NA,Detchd,Unf,2,576,TA,TA,Y,0,0,NA,0,5,WD,Normal,129000,36,36,1749,1920,2.0,288
714,715,60,RL,0.0,13517,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,Unf,192,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,0,NA,Attchd,RFn,2,475,TA,TA,Y,0,0,NA,0,3,WD,Normal,130500,34,5,2012,2204,2.5,44
715,716,20,RL,78.0,10140,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,HdBoard,HdBoard,BrkFace,174.0,TA,TA,CBlock,Gd,TA,No,Unf,Unf,1064,GasA,TA,Y,SBrkr,0,3,1,TA,7,Typ,1,TA,Attchd,RFn,2,478,TA,TA,Y,0,0,NA,0,8,WD,Normal,165000,35,35,1350,2414,2.0,0
716,717,70,RM,60.0,10800,Pave,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,Gable,CompShg,Wd Sdng,VinylSd,None,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,Unf,718,GasA,Ex,Y,SBrkr,0,3,1,TA,8,Typ,0,NA,Detchd,Unf,2,704,TA,TA,P,0,0,NA,0,7,WD,Normal,159500,117,9,2554,3272,1.5,191
717,718,20,RL,80.0,10000,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,92,GasA,Gd,Y,SBrkr,0,3,1,Gd,5,Typ,1,Fa,Attchd,Unf,2,439,TA,TA,Y,224,0,NA,0,11,WD,Normal,157000,35,8,2262,2354,2.0,0
718,719,60,RL,96.0,10542,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,651.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,138,GasA,Ex,Y,SBrkr,0,3,1,Gd,9,Typ,1,TA,Attchd,RFn,3,983,TA,TA,Y,250,0,NA,0,8,WD,Normal,341000,15,14,3591,3729,3.5,370
719,720,20,RL,69.0,9920,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,448,GasA,TA,Y,SBrkr,0,3,1,TA,5,Typ,1,Po,Attchd,Unf,1,300,TA,TA,Y,0,0,NA,0,5,WD,Normal,128500,37,37,1494,1942,1.5,0
720,721,120,RL,0.0,6563,Pave,IR1,Low,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,594,GasA,TA,Y,SBrkr,0,2,1,Gd,5,Typ,1,TA,Attchd,RFn,2,564,TA,TA,Y,114,0,NA,0,12,WD,Normal,275000,21,21,2890,3484,3.0,262
721,722,120,RM,0.0,4426,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,169.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,186,GasA,Ex,Y,SBrkr,0,1,1,Gd,3,Typ,0,NA,Attchd,RFn,2,420,TA,TA,Y,160,0,NA,0,5,WD,Normal,143000,6,6,1510,1696,2.0,0
722,723,20,RL,70.0,8120,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,673,GasA,Ex,Y,SBrkr,0,3,1,TA,5,Typ,0,NA,Detchd,Unf,2,463,TA,TA,Y,0,0,NA,0,7,WD,Normal,124500,39,39,1055,1728,1.0,0
723,724,50,RL,60.0,8172,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,4,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,941,GasA,Ex,Y,SBrkr,0,4,1,TA,7,Typ,0,NA,Detchd,Unf,1,548,TA,TA,Y,0,0,NA,0,5,WD,Normal,135000,54,36,1470,2411,2.0,156
724,725,20,RL,86.0,13286,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,9,5,Hip,CompShg,CemntBd,CmentBd,Stone,340.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,464,GasA,Ex,Y,SBrkr,0,3,1,Ex,8,Typ,1,Gd,Attchd,Fin,3,768,TA,TA,Y,327,0,NA,0,2,WD,Normal,320000,2,1,2932,3396,3.0,64
725,726,20,RL,60.0,6960,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,250,GasA,TA,Y,SBrkr,0,3,1,Gd,5,Typ,0,NA,Detchd,Unf,2,660,TA,TA,Y,96,0,NA,500,11,WD,Normal,120500,39,39,1478,1728,1.0,0
726,727,20,RL,0.0,21695,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,9,Hip,CompShg,Wd Sdng,Plywood,BrkFace,260.0,Gd,Gd,CBlock,Gd,TA,No,GLQ,Unf,72,GasA,Ex,Y,SBrkr,0,3,1,Gd,5,Typ,1,Gd,Attchd,Fin,2,540,TA,TA,Y,292,0,NA,0,12,WD,Normal,222000,21,2,2488,2560,3.0,226
727,728,20,RL,64.0,7314,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,82.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,508,GasA,Ex,Y,SBrkr,0,2,1,Gd,6,Typ,0,NA,Attchd,RFn,2,632,TA,TA,Y,132,0,NA,0,2,WD,Normal,194500,2,2,1956,2464,3.0,0
728,729,90,RL,85.0,11475,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,95.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1584,GasA,TA,Y,SBrkr,0,4,2,TA,9,Typ,0,NA,Detchd,Unf,3,888,TA,TA,Y,0,0,NA,0,7,COD,Abnorml,110000,51,51,1776,3360,3.0,25
729,730,30,RM,52.0,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,628,GasA,TA,Y,FuseA,360,2,1,TA,5,Typ,0,NA,Detchd,Unf,2,539,TA,TA,Y,0,0,NA,0,1,WD,Normal,103000,84,59,1000,1988,1.0,135
730,731,120,RL,39.0,5389,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,415,GasA,Ex,Y,SBrkr,0,2,1,Gd,5,Typ,1,TA,Attchd,RFn,2,608,TA,TA,Y,237,0,NA,0,3,WD,Normal,236500,15,14,2796,3211,3.0,152
731,732,80,RL,73.0,9590,Pave,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,SLvl,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,442.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,82,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,1,Gd,Attchd,Fin,2,438,TA,TA,Y,160,0,NA,0,5,WD,Normal,187500,4,4,1932,2014,3.0,22
732,733,60,RL,75.0,11404,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,202.0,Gd,TA,PConc,Gd,TA,Av,ALQ,Unf,901,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,1,TA,Attchd,Fin,2,541,TA,TA,Y,192,0,NA,0,7,WD,Normal,222500,10,9,2283,3184,2.5,84
733,734,20,RL,80.0,10000,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,270,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,1,264,TA,TA,Y,165,0,NA,400,3,WD,Normal,131400,48,26,1738,2008,2.0,0
734,735,20,RL,0.0,8978,Pave,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,948,GasA,TA,Y,SBrkr,0,3,1,TA,6,Typ,0,NA,Attchd,Unf,1,300,TA,TA,Y,147,0,NA,0,5,WD,Family,108000,39,39,948,1896,1.0,0
735,736,75,RM,60.0,10800,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Gd,TA,Mn,Rec,Unf,490,GasW,Fa,N,SBrkr,0,2,1,TA,6,Typ,2,TA,Detchd,Unf,2,320,TA,TA,N,0,0,NA,0,10,WD,Normal,163000,92,36,2158,2648,1.5,341
736,737,90,RL,60.0,8544,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,3,4,Gable,CompShg,Stucco,Stone,None,0.0,TA,TA,CBlock,NA,NA,NA,NA,NA,0,GasA,Gd,N,FuseF,0,2,2,TA,6,Typ,0,NA,Detchd,Unf,2,400,TA,TA,Y,0,0,NA,0,7,WD,Normal,93500,56,56,1040,1040,2.0,0
737,738,60,RL,72.0,10463,Pave,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,893,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,1,Gd,Attchd,Fin,3,800,TA,TA,Y,0,0,NA,0,6,WD,Normal,239900,1,1,1801,2694,2.5,116
738,739,90,RL,60.0,10800,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,5,5,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,Gd,Gd,GLQ,Unf,0,GasA,TA,Y,SBrkr,0,3,1,TA,5,Typ,0,NA,NA,None,0,0,NA,NA,Y,120,0,NA,0,3,WD,Alloca,179000,22,21,2400,2400,6.0,0
739,740,60,RL,65.0,9313,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,864,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,0,NA,Attchd,RFn,2,572,TA,TA,Y,187,0,NA,0,4,WD,Normal,190000,5,5,1728,2592,2.5,56
740,741,70,RM,60.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,7,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,Gd,BrkTil,Fa,Fa,No,Unf,Unf,264,GasA,Ex,Y,SBrkr,0,2,1,TA,7,Typ,0,NA,Detchd,Unf,2,360,TA,Gd,Y,270,0,NA,0,5,WD,Abnorml,132000,97,5,1432,1696,2.0,112
741,742,20,RL,65.0,6768,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,6,8,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,TA,Mn,GLQ,Unf,80,GasA,Gd,Y,SBrkr,0,3,1,Gd,5,Typ,0,NA,Detchd,Unf,1,288,TA,TA,Y,168,0,NA,0,5,WD,Normal,142000,47,12,1744,1824,2.5,0
742,743,20,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,108.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1349,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,0,NA,Attchd,Unf,2,539,TA,TA,Y,120,0,NA,0,12,WD,Normal,179000,7,6,1349,2698,2.0,55
743,744,80,RL,70.0,12886,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,Unf,76,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Min2,1,TA,Attchd,RFn,2,480,TA,TA,Y,302,0,NA,0,10,WD,Normal,175000,46,10,1908,1984,2.5,100
744,745,120,RL,41.0,5395,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,604,GasA,Gd,Y,SBrkr,0,2,1,Gd,5,Typ,1,TA,Attchd,RFn,2,462,TA,TA,Y,96,0,NA,0,10,WD,Normal,180000,15,15,2070,2674,3.0,238
745,746,60,RL,0.0,8963,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,9,Hip,CompShg,VinylSd,VinylSd,BrkFace,289.0,Ex,Gd,CBlock,TA,Gd,No,GLQ,ALQ,487,GasA,Ex,Y,SBrkr,0,4,1,Gd,11,Typ,2,TA,BuiltIn,Fin,2,831,TA,TA,Y,0,0,NA,0,7,WD,Normal,299800,32,12,3370,3857,4.0,204
746,747,60,RL,0.0,8795,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,652,GasA,Ex,Y,SBrkr,0,4,1,Gd,8,Typ,1,TA,BuiltIn,Fin,2,554,TA,TA,Y,224,0,NA,0,4,WD,Normal,236000,9,9,2556,3208,2.5,54
747,748,70,RM,65.0,11700,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,Mansard,CompShg,Stucco,Stucco,None,0.0,Gd,TA,Stone,TA,Fa,No,Unf,Unf,1240,GasW,TA,N,SBrkr,0,4,1,Gd,8,Typ,1,Gd,Detchd,Unf,4,864,TA,TA,N,181,0,NA,0,5,WD,Normal,265979,129,6,2640,3880,1.5,386
748,749,20,RL,59.0,10593,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1Story,7,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,338.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,801,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,TA,Attchd,Fin,2,527,TA,TA,Y,240,0,NA,0,3,WD,Normal,260400,14,14,2639,3440,3.0,210
749,750,50,RL,50.0,8405,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,4,3,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,Slab,NA,NA,NA,NA,NA,0,Wall,TA,N,FuseF,0,4,1,TA,9,Mod,0,NA,Detchd,Unf,1,240,TA,TA,N,92,0,NA,0,4,WD,Normal,98000,64,59,1529,1529,2.0,185
750,751,50,RM,55.0,8800,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,Unf,576,GasA,Gd,Y,SBrkr,0,3,1,TA,7,Min2,0,NA,NA,None,0,0,NA,NA,N,0,0,NA,0,6,WD,Normal,96500,100,6,1140,1716,1.0,160
751,752,60,RL,0.0,7750,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,660,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,0,NA,Attchd,Fin,2,400,TA,TA,Y,0,0,NA,0,8,WD,Normal,162000,4,4,1320,1980,2.5,48
752,753,20,RL,79.0,9236,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,TA,Gd,GLQ,Unf,279,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,0,NA,Attchd,RFn,2,576,TA,TA,Y,168,0,NA,0,7,WD,Normal,217000,9,9,2694,2973,3.0,27
753,754,60,RL,80.0,10240,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,178.0,Gd,TA,PConc,Gd,TA,Mn,Unf,Unf,1030,GasA,Gd,Y,SBrkr,0,3,1,Ex,8,Typ,1,Gd,Attchd,RFn,3,878,TA,TA,Y,192,0,NA,0,3,WD,Normal,275500,1,1,2098,3128,2.5,52
754,755,20,RL,61.0,7930,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,GLQ,LwQ,115,GasA,Gd,Y,SBrkr,0,3,1,Gd,5,Typ,0,NA,Detchd,RFn,2,440,TA,TA,Y,171,0,NA,0,7,WD,Normal,156000,40,4,1937,2052,2.0,48
755,756,160,FV,34.0,3230,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,894.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,348,GasA,Gd,Y,SBrkr,0,3,1,TA,6,Typ,0,NA,Detchd,Unf,2,440,TA,TA,Y,0,0,NA,0,3,WD,Normal,172500,10,10,1852,2200,2.5,24
756,757,60,RL,68.0,10769,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,846,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,0,NA,Attchd,RFn,2,578,TA,TA,Y,144,0,NA,0,4,WD,Normal,212000,2,2,1788,2634,2.5,105
757,758,60,RL,0.0,11616,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,5,Hip,CompShg,HdBoard,HdBoard,BrkCmn,328.0,TA,TA,CBlock,TA,TA,Mn,Rec,Unf,234,GasA,TA,Y,SBrkr,0,3,1,TA,6,Typ,1,TA,Attchd,Fin,2,440,TA,TA,Y,335,0,NA,0,4,WD,Abnorml,158900,32,32,1824,2058,2.5,0
758,759,160,FV,24.0,2280,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,360.0,TA,TA,PConc,Gd,TA,No,ALQ,Unf,195,GasA,Gd,Y,SBrkr,0,3,1,TA,6,Typ,0,NA,Detchd,Unf,2,440,TA,TA,Y,0,0,NA,0,8,WD,Normal,179400,9,9,2050,2245,2.5,0
759,760,60,RL,65.0,12257,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,513.0,Gd,TA,PConc,Gd,TA,Av,LwQ,ALQ,1198,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3,752,TA,TA,Y,222,0,NA,0,11,WD,Normal,290000,12,12,2651,3849,2.5,98
760,761,20,RL,70.0,9100,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,252,GasA,Ex,Y,SBrkr,0,2,1,TA,5,Typ,0,NA,Detchd,Unf,1,300,Ex,Ex,Y,0,0,NA,450,10,WD,Normal,127500,50,50,1476,1728,1.0,0
761,762,30,RM,60.0,6911,Pave,Reg,Lvl,AllPub,FR2,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,Mn,LwQ,Unf,740,GasA,TA,Y,SBrkr,0,2,1,Fa,5,Min1,0,NA,Detchd,Unf,2,440,TA,TA,Y,0,0,NA,0,10,WD,Normal,100000,85,59,1706,2446,1.0,0
762,763,60,FV,72.0,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,732,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,0,NA,Attchd,Unf,2,614,TA,TA,Y,169,0,NA,0,6,Con,Normal,215200,1,1,1571,2303,2.5,45
763,764,60,RL,82.0,9430,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,673.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,89,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,1,Gd,Attchd,RFn,3,856,TA,TA,Y,0,0,NA,0,7,WD,Normal,337000,10,10,3528,3617,3.5,308
764,765,120,RL,30.0,9549,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,GLQ,0,GasA,Ex,Y,SBrkr,0,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2,481,TA,TA,Y,0,0,NA,0,4,WD,Normal,270000,11,10,2988,2988,2.5,246
765,766,20,RL,75.0,14587,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,9,5,Gable,CompShg,VinylSd,VinylSd,Stone,284.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1498,GasA,Ex,Y,SBrkr,0,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2,592,TA,TA,Y,0,0,NA,0,8,New,Partial,264132,0,0,1506,3004,2.0,174
766,767,60,RL,80.0,10421,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,42.0,TA,TA,CBlock,Gd,TA,No,GLQ,Unf,586,GasA,TA,Y,SBrkr,0,3,1,TA,7,Typ,1,TA,Attchd,Unf,2,496,TA,TA,Y,228,0,NA,500,3,WD,Normal,196500,22,22,2108,2694,2.5,222
767,768,50,RL,75.0,12508,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,6,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,Unf,323,GasA,Ex,Y,SBrkr,0,4,1,TA,7,Mod,0,NA,Attchd,Unf,1,423,TA,TA,Y,245,0,NA,1300,7,WD,Normal,160000,68,23,2410,2733,3.0,156
768,769,20,RL,70.0,9100,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Hip,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1836,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,1,Gd,Attchd,Fin,2,484,TA,TA,Y,120,0,NA,0,10,WD,Normal,216837,2,1,1860,3696,2.0,33
769,770,60,RL,47.0,53504,Pave,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,Ex,TA,PConc,Gd,TA,Gd,ALQ,Unf,234,GasA,Ex,Y,SBrkr,0,4,1,Ex,12,Mod,1,Gd,BuiltIn,Fin,3,841,TA,TA,Y,503,0,NA,0,6,WD,Normal,538000,7,7,4695,4929,4.5,246
770,771,85,RL,0.0,7252,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,5,5,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,Gd,TA,Av,GLQ,Unf,173,GasA,TA,Y,SBrkr,0,2,1,TA,5,Typ,0,NA,Detchd,Unf,2,576,TA,TA,Y,120,0,NA,0,4,WD,Normal,134900,27,27,1543,1716,2.0,0
771,772,20,RL,67.0,8877,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,Fa,Fa,No,LwQ,Unf,0,GasA,TA,Y,FuseF,0,2,1,TA,6,Typ,0,NA,Detchd,Unf,2,396,TA,TA,Y,0,0,NA,0,4,COD,Normal,102000,55,55,2056,2056,1.0,0
